"","Reporting.Country","Total.confirmed","Total.confirmed.new.cases","Total.deaths","Total.new.deaths","Transmission.classification","Days.since.last.reported.case","ISO_3_CODE","temp_mean_14Mar20","temp_mean_14Mar20_pa","temp_mean_3mth","temp_mean_3mth_pa","humd_mean_14Mar20","humd_mean_14Mar20_pa","humd_mean_3mth","humd_mean_3mth_pa","temp_mean_14Mar20_paadj","temp_mean_3mth_paadj"
"1","Afghanistan",42,2,1,0,"Imported cases only",0,"AFG",6.72910369049895,6.37893077839116,0.341628147696568,0.16551071020021,42.2699335424097,45.2332175480194,61.6633387046714,61.6633387046714,6.37893077839116,0.16551071020021
"2","Albania",123,34,4,2,"Local transmission",0,"ALB",11.9481414794922,12.8385818826976,5.17099286878431,6.46624632576355,69.6120135498047,71.9091620307504,70.3895024552216,70.3895024552216,12.8385818826976,6.46624632576355
"3","Algeria",231,30,17,0,"Local transmission",0,"DZA",20.3869284534399,15.5417441236721,14.9123234194957,11.2247673793912,23.2525772375974,66.4343937004041,32.0041775065013,32.0041775065013,15.5417441236721,11.2247673793912
"4","Andorra",164,51,1,1,"Local transmission",0,"AND",3.650634765625,3.650634765625,0.489182343354096,0.489182343354096,78.2993621826172,78.2993621826172,71.2730255126953,71.2730255126953,3.650634765625,0.489182343354096
"5","Angola ",2,0,0,0,"Imported cases only",2,"AGO",22.5904983631346,25.0811581457164,22.7382058267872,24.5440098175941,81.7949303633942,80.5360366375477,80.4467304769232,80.4467304769232,25.0811581457164,24.5440098175941
"6","Antigua and Barbuda",1,0,0,0,"Imported cases only",10,"ATG",24.8370971679688,24.8370971679688,24.9263474747941,24.9263474747941,77.1905746459961,NA,77.6023314707988,77.6023314707988,24.8370971679688,24.9263474747941
"7","Argentina",266,41,4,0,"Local transmission",0,"ARG",20.0359465784306,23.6927172643733,20.831879618287,23.1596956704773,53.1882230733796,70.7022633355922,53.6713125684901,53.6713125684901,23.6927172643733,23.1596956704773
"8","Armenia",235,45,0,0,"Local transmission",0,"ARM",5.13826455875319,6.28776036190775,-3.51009216140267,-2.57376362018127,86.713447103695,84.8879709075265,70.4322851710206,70.4322851710206,6.28776036190775,-2.57376362018127
"9","Aruba",9,1,0,0,"Imported cases only",0,"ABW",25.9901428222656,25.9901428222656,25.7790976859428,25.7790976859428,77.9683380126953,NA,81.9296717257113,81.9296717257113,25.9901428222656,25.7790976859428
"10","Australia",1709,313,7,0,"Local transmission",0,"AUS",24.6308953332512,17.120687613312,27.3921655704839,21.7765876582133,45.8756618209831,69.5166068072936,48.8438698363646,48.8438698363646,17.120687613312,21.7765876582133
"11","Austria",4486,855,25,9,"Local transmission",0,"AUT",2.10237711338909,3.77589252526116,0.398504397304195,2.1382900727848,66.5961935593307,62.1754432360811,74.5674293334953,74.5674293334953,3.77589252526116,2.1382900727848
"12","Azerbaijan",72,7,1,0,"Local transmission",0,"AZE",10.7752494022764,11.6941999633792,2.89852829335009,4.7358361838588,74.8330016300596,75.9675920484957,69.7587542870727,69.7587542870727,11.6941999633792,4.7358361838588
"13","Bahamas",4,0,0,0,"Local transmission",3,"BHS",23.8254165649414,23.2243014780859,23.2089635281949,22.6773308207475,80.6753135681152,83.2185882003214,75.1152064942025,75.1152064942025,23.2243014780859,22.6773308207475
"14","Bahrain",377,40,2,0,"Local transmission",0,"BHR",22.16748046875,22.16748046875,17.7197183145059,17.7197183145059,63.9942245483398,63.9942245483398,71.6710009703765,71.6710009703765,22.16748046875,17.7197183145059
"15","Bangladesh",33,6,3,1,"Local transmission",0,"BGD",24.8797708114392,24.6621351301992,19.3611901029832,19.2803197484512,65.7394470950674,66.6177089290013,74.4438745802462,74.4438745802462,24.6621351301992,19.2803197484512
"16","Barbados",17,12,0,0,"Imported cases only",0,"BRB",24.5122985839844,24.5122985839844,25.4635530420252,25.4635530420252,85.451810836792,NA,76.3194897497023,76.3194897497023,24.5122985839844,25.4635530420252
"17","Belarus",81,5,0,0,"Local transmission",0,"BLR",-0.13838661666465,-0.26728354739379,1.69980694055272,1.6524370906184,71.8155722660301,72.3273668638348,84.5101082526277,84.5101082526277,-0.26728354739379,1.6524370906184
"18","Belgium",3743,342,88,13,"Local transmission",0,"BEL",5.88955934586064,6.35123275902049,5.65745773248914,6.13104484675601,82.2941831773327,81.8226742830672,85.2524000964377,85.2524000964377,6.35123275902049,6.13104484675601
"19","Belize",1,1,0,0,"Imported cases only",0,"BLZ",25.436413356236,25.6910841636949,24.3662857144035,24.602505168634,75.5919579097203,75.3938780849332,80.2266024825196,80.2266024825196,25.6910841636949,24.602505168634
"20","Benin",5,3,0,0,"Imported cases only",0,"BEN",30.333458094443,29.4480897129177,28.0495331661953,28.2251708661837,43.4466337942308,61.5245655077278,32.2847726247367,32.2847726247367,29.4480897129177,28.2251708661837
"21","Bermuda",6,4,0,0,"Imported cases only",0,"BMU",19.2393086751302,19.2393086751302,18.4280018849416,18.4280018849416,77.582888285319,NA,71.415690550933,71.415690550933,19.2393086751302,18.4280018849416
"22","Bhutan",2,0,0,0,"Imported cases only",4,"BTN",5.05609499174973,8.89612411306282,1.03377158244081,5.59178494143725,87.5101926080112,88.2609265792513,76.8001377255919,76.8001377255919,8.89612411306282,5.59178494143725
"23","Bolivia (Plurinational State of)",27,3,0,0,"Local transmission",0,"BOL",23.513888663599,18.7615085524997,22.1805504680499,17.4996580467521,72.2538917050119,68.2623160113391,75.6258219138122,75.6258219138122,18.7615085524997,17.4996580467521
"24","Bosnia and Herzegovina",131,6,1,0,"Local transmission",0,"BIH",7.10689629448785,7.35088526199262,3.35398570567638,3.53993345463,61.8735204060872,61.4208559263465,72.2285289403555,72.2285289403555,7.35088526199262,3.53993345463
"25","Brazil",1546,642,25,14,"Local transmission",0,"BRA",25.6891736533413,24.9138926947812,25.3153367189705,24.3403534852807,78.1810744025107,74.8141113611815,79.3855235120192,79.3855235120192,24.9138926947812,24.3403534852807
"26","Brunei Darussalam",91,3,0,0,"Local transmission",0,"BRN",26.9909144810268,28.0272893361868,26.4694213278045,27.2294008512791,84.9231392996652,79.0573286567991,86.0609063844423,86.0609063844423,28.0272893361868,27.2294008512791
"27","Bulgaria",201,16,3,0,"Local transmission",0,"BGR",9.52604099195831,9.66153619192512,4.00705943078674,4.20621713189509,70.5444269569553,68.5430567192819,72.109227523446,72.109227523446,9.66153619192512,4.20621713189509
"28","Burkina Faso",99,24,3,0,"Local transmission",0,"BFA",32.1345597809436,32.2597384687035,27.2623253657064,27.2590787673219,17.8015953379185,17.4247755052042,18.4208726792506,18.4208726792506,32.2597384687035,27.2590787673219
"29","Cabo Verde",3,0,0,0,"Imported cases only",2,"CPV",21.4671732584635,22.2401273924588,20.933487763276,21.6191722697751,77.8958257039388,74.8676553622629,76.8644030115626,76.8644030115626,22.2401273924588,21.6191722697751
"30","Cambodia",87,3,0,0,"Local transmission",0,"KHM",30.5375627249726,30.6345341477961,27.0210290124487,27.4544383659876,62.5836653118291,62.183188287139,63.6345129100398,63.6345129100398,30.6345341477961,27.4544383659876
"31","Cameroon",72,32,0,0,"Local transmission",0,"CMR",26.5199477547093,26.0892100780403,25.5288019750061,25.5360522671363,45.4987780153751,50.2318105337979,47.7544551238863,47.7544551238863,26.0892100780403,25.5360522671363
"32","Canada",1432,48,20,1,"Local transmission",0,"CAN",-20.4778809380534,-2.95311469166982,-22.3972848349126,-4.5797415971772,72.17792659503,61.7677948891789,74.5882933158579,74.5882933158579,-2.95311469166982,-4.5797415971772
"33","Cayman Islands",5,2,1,0,"Imported cases only",0,"CYM",25.5971069335938,25.5971069335938,25.4524173221073,25.4524173221073,78.1454925537109,78.1454925537109,75.9556910540607,75.9556910540607,25.5971069335938,25.4524173221073
"34","Central African Republic",4,0,0,0,"Imported cases only",1,"CAF",28.9617659845963,28.4981012487188,27.7251404127543,27.2484067389512,34.0223066337003,37.6772711995169,30.34584927916,30.34584927916,28.4981012487188,27.2484067389512
"35","Chad",3,2,0,0,"Imported cases only",0,"TCD",22.5383473989126,26.063269203336,21.3542982758021,24.9087069913112,19.2395020382945,16.8351790167725,22.5208424557674,22.5208424557674,26.063269203336,24.9087069913112
"36","Chile",746,114,1,0,"Local transmission",0,"CHL",12.2500146756506,17.6670480132586,13.0552892154661,18.7852972294495,66.7201446924999,58.3076440087733,65.4478140217771,65.4478140217771,17.6670480132586,18.7852972294495
"37","China",81747,146,3283,7,"Local transmission",0,"CHN",2.10758875088397,10.6803047961142,-4.72959281210915,5.7813397922353,44.4017287853457,51.4192345947342,60.007010458993,60.007010458993,10.6803047961142,5.7813397922353
"38","Colombia",277,81,3,1,"Local transmission",0,"COL",24.4966161994524,20.785005767421,25.1358599952403,21.1697642797084,84.5321814680612,83.9004013280456,74.4549892669464,74.4549892669464,20.785005767421,21.1697642797084
"39","Congo ",4,0,0,0,"Imported cases only",2,"COG",27.417598353023,27.9533795497952,25.8011301246393,26.1785465259203,74.4151756826755,74.2389467141481,77.7697801167416,77.7697801167416,27.9533795497952,26.1785465259203
"40","Costa Rica",158,41,2,0,"Local transmission",0,"CRI",23.1416709206321,21.2855586317885,22.8305472421607,20.9239644899676,77.0709386305376,75.8539959393856,79.542774818258,79.542774818258,21.2855586317885,20.9239644899676
"41","Côte d’Ivoire",25,0,0,0,"Imported cases only",1,"CIV",29.6926251452116,28.7505719907773,27.6247719478497,27.5825881105514,61.4345887125386,71.3361449646014,49.9119478511615,49.9119478511615,28.7505719907773,27.5825881105514
"42","Croatia",306,71,0,0,"Local transmission",0,"HRV",9.16126584543765,9.09885414143041,5.20549460465875,5.05089736508951,58.0540954812059,59.5878068095457,72.7246332316222,72.7246332316222,9.09885414143041,5.05089736508951
